,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
19,Coronavirus Law,"Florida, USA",COVID-19 Practice of Lechner Law,2019-12-03 19:00:11,14,24,74,False,2020-07-25 12:26:39,COVID Update: The infection rate in Florida is following the natural curve that experts predicted if the initial cu… https://t.co/hmEwE747WK,,Twitter for iPad,False
20,The Voice of GenX,,,2011-05-28 15:28:21,292,1037,58,False,2020-07-25 12:26:37,"@EvanAKilgore @realDonaldTrump Good Patriots!
Call to Volunteer to be an Election Judge. 
Polls cannot open without… https://t.co/qA3mA4zedZ",,Twitter for iPhone,False
21,APO Group English,#AFRICA #MENA,"Latest #Africa & #MENA related #News releases issued by companies, govs, intl orgs, NGOs & #UN #PR FR:@APO_source_fr PT:@APO_source_pt AR:@APO_source_ar",2011-02-22 09:09:45,10661,6,2037,True,2020-07-25 12:26:31,Coronavirus - South Africa: COVID-19 update for South Africa (24 July 2020) @nicd_sa @MoetiTshidi @WHOAFRO… https://t.co/WQzAdkpXC5,,Africa Newsroom,False
22,Micah Pollak,Northwest Indiana,Associate Professor of Economics (PhD in Economics) and Director of the Center for Economic Education & Research (CEER) at Indiana University Northwest.,2011-07-22 13:41:42,751,183,1308,False,2020-07-25 12:26:31,"@JimBnntt Your image doesn't list a source, but I'd be careful with overall ""risk of dying"" statistics related to… https://t.co/GRjVq8vYMy",,Twitter Web App,False
23,CAWST,100+ countries,"Providing training, education and technical consulting services in water and sanitation",2009-08-06 02:43:36,3038,2713,7445,False,2020-07-25 12:26:30,"The first comprehensive review of #WASH &amp; #COVID19.

Analysis: key ways in which WASH can help reduce transmission… https://t.co/eCsfDmo9b4","['WASH', 'COVID19']",Twitter for iPhone,False
24,Florian Bieber,Graz,"Niko i ništa, professor, so-called Balkan expert, coordinator @biepag director @cseesgraz, Jean Monnet Chair, tweets English, manchmal Deutsch & ponekad naški.",2009-06-18 09:46:10,18145,1389,13578,False,2020-07-25 12:26:28,Holy water in times of #COVID19 https://t.co/YaZ49yxL27,['COVID19'],Twitter for Android,False
25,Blood Donors India,"Mumbai, India","Focused on matching blood donors with those in need. No followers here, only contributors. Spread the word, help save lives. We save 8/day.",2008-12-23 07:55:39,1215920,2047,19359,True,2020-07-25 12:26:26,"#Kolar
Need #Blood Type :  B-positive
At : Jalappa Hospital
Blood Component : Need Plasma from B+ve #COVID19 recove… https://t.co/XtgxULc02Z","['Kolar', 'Blood', 'COVID19']",Blood Donors India,False
26,Tetra Tech International Development,Working in 175+ countries,A leader in #GlobalDev. We work to improve livelihoods worldwide thru locally driven #sustainable #solutions. Posts by @TetraTech’s Int’l Dev team,2010-08-06 19:09:22,20699,458,2680,False,2020-07-25 12:26:26,"Our Munitions Response Team in #BosniaandHerzegovina modified ops and adopted masks, disinfectants, and sanitizers… https://t.co/lMbKXlw1wQ",['BosniaandHerzegovina'],Twitter Web App,False
27,beatnikgeek the soothsayer,"Manhattan, NY","These days, I expose colonizers & exploits @ the subatomic level e.g., Unlimited profits is the only acceptable profit margin.",2008-02-23 19:02:29,86,259,9412,False,2020-07-25 12:26:26,I can imagine the same people profiting off the human suffering of #COVID19 will be studying these maps to make 207… https://t.co/NElsmGju2H,['COVID19'],Twitter for Android,False
28,Mugilan Chandrakumar,no e-pass to cross borders...,"Journalist/Stay Grounded/ RT's are not Endorsements/ Views are Personal/Coimbatore❤/Chennai.


*Then they came for me-and there was no one left to speak for me*",2011-06-12 18:18:43,8205,1083,32076,False,2020-07-25 12:26:24,"#TNCoronaUpdate

#TN crosses 2 lakh mark and 1,50,055 ppp has recovered so far.

#COVID19 positive today 6988/total… https://t.co/QdJkpcc7qv","['TNCoronaUpdate', 'TN', 'COVID19']",Twitter for Android,False
29,🏎🚒🚨☎️⚖️☎️📩📥📧 TAX Reform, I ♥️ I ♥️ I ♥️ I,https://t.co/VDCHungubm | @1984Vivika | https://t.co/yQ2QcbFM0g,2019-12-06 14:42:15,28,1449,1196,False,2020-07-25 12:26:21,"@ratasjuri TAX Reform

Tax-free minimum:
For a company of five hundred thousand euros per year.

Tax-free minimum:… https://t.co/gD0Q6ujjbl",,Twitter for iPad,False
30,Ms Paz,United States,,2019-09-15 18:10:09,127,974,30217,False,2020-07-25 12:26:21,#FEMA acknowledges #PuertoRico lacks rebuilt homes and a hospital to survive #COVID19  https://t.co/PLXqKc5K5d,"['FEMA', 'PuertoRico', 'COVID19']",Twitter for iPhone,False
31,V2Cinemas,"Chennai, India",V2Cinemas is one of the leading entertainment portal. The reliable destination for Tamil & Telugu movies. HelloV2cinemas@gmail.com https://t.co/8Kakji1WCV,2014-09-14 03:37:40,55589,548,10526,False,2020-07-25 12:26:21,"Actor @VishalKOfficial and his father Mr.G.K.Reddy tested positive for #Covid19 15/20 days back..

While #Vishal 's… https://t.co/V5Lo8NRLWY","['Covid19', 'Vishal']",Twitter for Android,False
32,Beautify Data,"Miami, FL",We beautify data to learn and gain insight from data quicker.,2019-02-18 17:11:24,82,92,1152,False,2020-07-25 12:26:17,"An update on the total #covid19 cases, recoveries, and deaths reported in countries in #Africa.  See the total numb… https://t.co/eqCJ3EhwRi","['covid19', 'Africa']",Twitter Web App,False
33,Alan Taylor,"British Columbia, Canada",Lifetime learner and traveler. The only asset in life is time.,2012-03-11 21:21:35,54,422,1392,False,2020-07-25 12:26:15,@unionwill @megawedgy @jjhorgan “Regarding the community outbreak of #COVID19 on Haida Gwaii: 13 cases (one recover… https://t.co/rJzuY60qY7,['COVID19'],Twitter for iPad,False
34,The Bishop's Table Hotel,"Farnham, Surrey","Step off the beautiful West Street, Farnham, into the peaceful tranquility of our recently refurbished family owned Grade 2 listed Hotel.

Tel: 44 (0)1252710222",2010-02-01 08:54:51,387,195,26,False,2020-07-25 12:26:15,"A safe place to visit? Here is what our guests said, ""The hotel were meticulous in applying hand sanitation and als… https://t.co/PVCji8s1Eg",,Twitter Web App,False
35,Higher Health South Africa,South Africa,Higher Health is dedicated to promoting the health and wellbeing of nearly two million students in the post-school education system.,2014-05-23 06:18:35,1934,247,722,False,2020-07-25 12:26:09,"Our CEO @RamneekHH live with @SASCO_Jikelele WSU talking about, “The effects of Covid-19 on students”.… https://t.co/VMN2LxHAds",,Twitter for iPhone,False
36,harleyb,Deep Heart Texas,"Inquisitive; Open minded but clear-eyed; Unapologetically Democratic; 
Law-abiding, true crime junkie.💛",2014-02-03 01:23:36,6156,5463,193090,False,2020-07-25 12:26:06,@NicoleKowalski5 @chrisdameanor19 I'm feeling a little anxious because #COVID19 seems to have detracted everyone's… https://t.co/A3mHdXamLg,['COVID19'],Twitter for Android,False
37,WASH FOR HEALTH,,Tweets (by WHO team) in support of #washinhcf @WHO & @UNICEF recommendations. Views expressed here do not necessarily represent @WHO @UNICEF,2015-08-20 08:53:15,1657,823,2008,False,2020-07-25 12:26:02,Actionables for a healthy recovery from #COVID19 #climate  https://t.co/crGlKZOz5Z,"['COVID19', 'climate']",Twitter for iPhone,False
38,Mr Gazz,"Dorset, UK","European citizen, educator. Proud Dad. Fan of Spurs & England Rugby, ex IT analyst. Tweeting equality, Tech, Pi, food, Learning, music, comedy and more.",2010-08-25 13:01:56,1416,1637,46021,False,2020-07-25 12:26:01,"@jfoster2019 @bbclaurak Well #BorisJohnson might have understood more if he hadn't missed #5COBRA meeting #Five 
In… https://t.co/mQPAgCYGn2","['BorisJohnson', '5COBRA', 'Five']",Twitter for Android,False
39,ASHP,"Bethesda, Maryland",ASHP — Representing #pharmacists who serve as patient care providers in acute and ambulatory settings. #MedicationExperts,2009-09-15 19:52:43,32008,3763,7862,True,2020-07-25 12:26:00,"We released two new #COVID19 podcast episodes this week:
-Technology Platforms Used to Conduct Telehealth Visits
-C… https://t.co/G94VeYVCzk",['COVID19'],Twitter Web App,False
40,Aishling Sheridan,"Cavan, Ireland",Athletic therapist and trainer ✌️ Cavan ladies ⚽️ Collingwood AFLW #14. ambassador @lidlireland. enquiries contact jason@crosscoders.co,2011-12-21 18:19:44,1136,484,2002,False,2020-07-25 12:25:58,"#PlayYourPart in the fight against #COVID19 . Each one of us can make a difference in containing the spread, lets… https://t.co/fRzLgrS8Qf","['PlayYourPart', 'COVID19']",Twitter for iPhone,False
41,Matthew McGee ⴵ 🌍🇪🇺🇬🇧🎭🎞📚,A UK I no longer recognise,"I am a man, and nothing human is alien to me. Arts. Education. Politics. Environment. Anti-Brexit. Think for yourself, act for others. Ubuntu.",2011-12-07 11:16:36,3113,3086,221545,False,2020-07-25 12:25:56,"Britain didn't understand #Covid19 for months, while plenty of other countries did understand it and took effective… https://t.co/KV2CAQ6skZ",['Covid19'],Twitter for Android,False
42,N I C TA S H ♍,"Port Elizabeth, South Africa",I.G: @nictash_tash,2016-04-28 09:05:56,481,308,1120,False,2020-07-25 12:25:50,Volume for those at the back please. 🔊 #COVID19 https://t.co/d0pn2Bv2Hx,['COVID19'],Twitter for Android,False
43,TOI Delhi,"New Delhi, India",Your city. Your neighborhood. Your block. Covered for you by https://t.co/VSKi1mkZBr,2009-04-13 13:00:35,52186,41,74,True,2020-07-25 12:25:49,"#Delhi reports 1,142 #COVID19 positive cases and 29 deaths on Saturday. Death toll rises to 3,806, reports ANI quot… https://t.co/JxsVpWMRQS","['Delhi', 'COVID19']",TweetDeck,False
44,🏳️‍🌈Heath Walker🏳️‍🌈,"Larose, LA",Single 🏳️‍🌈GAY🏳️‍🌈 Indy Lib #HowieHawkins2020 #MedicareForAll  #RankedChoiceVoting #GreenNewDeal #OpenPrimaries #JusticeDems,2012-07-27 13:54:06,594,1012,37279,False,2020-07-25 12:25:46,"@realDonaldTrump Venezuela's Economy/Budget are tied to Oil like Louisiana's. Funny how the right-wing ""example"" of… https://t.co/qvHvKlTbbv",,Twitter for Android,False
45,Dr. K. Surender Raj,chennai,"DMK Cuddalore Dist. Students Wing Joint Sec.
MD @ KSR REALTY, Property Developer",2020-04-05 12:01:02,152,885,1496,False,2020-07-25 12:25:46,"#TamilNadu | #COVID19 |  25th July

●  TN - 6,988 (Highest Spike)

●  Total Cases  - 2,06,737

●  Chennai - 1,329… https://t.co/X8zgUzC0Gr","['TamilNadu', 'COVID19']",Twitter for iPhone,False
46,Los Pepes,Nairobi,,2016-04-23 07:39:51,610,1446,3280,False,2020-07-25 12:25:42,"Why has Ruto not eulogisied Mkapa!! 
Asking for Moses Kuria 

Raila 
#RutoSwindlingGEMA 
#COVID19","['RutoSwindlingGEMA', 'COVID19']",Twitter for Android,False
47,Wanda Warwick,worldwide,"Travel Tweets from a Worldwide Traveller - 110 countries. Blogger & Travel writer.
https://t.co/HaJAWMUzA5",2016-09-01 13:00:41,510,276,156,False,2020-07-25 12:25:38,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/0MCEUERQ74",,TweetCaster for Android,False
48,Horace Hamilton,Scotland,"The best laid schemes of Mice and Men 
often decay into ruins - So it's good to have a laugh now and then",2014-08-01 11:42:15,798,689,183,False,2020-07-25 12:25:37,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/AkxvIaD1Pr",,TweetCaster for Android,False
49,HelloHealthy,,,2012-11-23 05:38:37,951,291,155,False,2020-07-25 12:25:37,"#TamilNadu | #COVID19 |  25th July
●  TN - 6,988 (Highest Spike)
●  Total Cases  - 2,06,737
●  Chennai - 1,329
●  T… https://t.co/ZWFKJwZdEo","['TamilNadu', 'COVID19']",Twitter for Android,False
50,Gus McPop,Australia,Love Australia Fair and all things Australian,2014-06-06 22:26:36,580,551,100,False,2020-07-25 12:25:37,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/Ifse0whbVE",,TweetCaster for Android,False
51,Tom J,UK,"Not a Coffee expert, Pseudo Social Media Expert, Twitter-maniac, Internet advocate, Corporate Music aficionado or Wannabe entrepreneur.",2014-06-06 21:38:53,749,666,143,False,2020-07-25 12:25:37,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/dx8Yt7CvsM",,TweetCaster for Android,False
52,Sarah Smith,San Francisco,"Failed Ballet Dancer - Love anything Californian including thinness, suntan, going to the gym and the search for youthfulness. https://t.co/HaJAWMUzA5",2014-05-26 19:18:50,1511,1507,131,False,2020-07-25 12:25:35,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/h7p44XIzuk",,TweetCaster for Android,False
53,APN NEWS,"A-009, SEC-68 , NOIDA","APN NEWS: खबर है तो दिखेगी… Follow us for breaking news from political, sports, business and entertainment arena. https://t.co/nUoC25Uxbe",2014-05-13 09:10:18,20262,14,1487,False,2020-07-25 12:25:35,"Testing per 10 lakh population in Jammu and Kashmir has reached 44,744 as against 12,742 in the country; Recovery r… https://t.co/jmxhF67V5V",,Twitter Web App,False
54,Fergus McPop,USA,"Love any kind of classic pop, rock, beer or pizzas. https://t.co/HaJAWMUzA5",2014-06-10 21:28:09,1029,980,81,False,2020-07-25 12:25:35,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/bfel6gyXIq",,TweetCaster for Android,False
55,Gus McPop,"Baton Rouge, USA","I love music, any kind of music, I love music, just as long as it's groovin'.
https://t.co/HaJAWMUzA5",2014-06-07 08:27:27,1204,1191,113,False,2020-07-25 12:25:34,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/eu5g2djZYx",,TweetCaster for Android,False
56,Barry Grodenchik,"Queens, NY",Queens lifer representing Eastern Queens in the NYC Council. Blessed w Debra & David. Major @Mets fan. Never believe your own press. Weather too!,2012-11-23 16:51:09,4868,445,31825,False,2020-07-25 12:25:30,.@nytimes reporting that yesterday 1145 people died of #COVID19 in the USA. Over 73K new cases were reported. Serio… https://t.co/sFwP0v7FEB,['COVID19'],Twitter for Android,False
57,CARLINO,"New Orleans, LA",IG Carlino213: Alumni LA Southwest College: Professional Barber : Artist: https://t.co/UrhpWpTUV5,2015-04-19 22:07:53,11,3,133,False,2020-07-25 12:25:29,Crazy that the world has come to this but as Americans we will fight to get through this!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 #covid19,['covid19'],Twitter for iPhone,False
58,Person woman man camera TV Person woman man camera,,"Around '2000, at a HS reunion, I gave a talk about global warming as intergenerational theft. We're still failing to deal with it.",2008-02-06 04:19:21,4027,542,105214,False,2020-07-25 12:25:28,@jimsciutto @JoAnnBaldwin55 People whose relatives have died from #COVID19 should file a class action lawsuit against Sinclair Broadcasting.,['COVID19'],Twitter Web App,False
59,Coronavirus Updates - Alexander Higgins,,An independent citizen journalist that aggregates and reports on news and political issues with a focus on government corruption and environmental activism.,2010-05-02 03:52:20,17463,6810,9897,False,2020-07-25 12:25:28,"US #CoronaVirus: 4,249,584 cases and 148,521 deaths reported in the United States to date.

1,257 new cases and 31… https://t.co/j4TreMnKW5",['CoronaVirus'],Alexander Higgins,False
60,#IndiaFightsCorona,,Official Government of India updates on #COVID19 by @MIB_India.,2020-03-31 07:41:35,100214,70,1748,True,2020-07-25 12:25:25,"#IndiaFightsCorona :

📍 Do you agree that a mask is one of the most powerful accessories we have to fight against t… https://t.co/5VauORkmjG",['IndiaFightsCorona'],Twitter Web App,False
61,ᏉᎥ☻լꂅϮ,astroworld,wednesday addams as a disney princess keepin it [̲̅$̲̅(̲̅ιοο̲̅)̲̅$̲̅] 👸🏻💚♊️🧀🌵🌃🌙,2017-05-26 05:46:42,624,950,18775,False,2020-07-25 12:25:24,I miss isopropyl alcohol so much!!!! Ethanol in hand sanitizer smells like I poured tequila on my hands 🤢 #COVID19,['COVID19'],Twitter for iPhone,False
62,Greater Visakhapatnam Municipal Corporation (GVMC),Visakhapatnam,Official Twitter handle of Greater Visakhapatnam Municipal Corporation. Contact us at 1800 4250 0009.  Follow us at https://t.co/wKGXaJLHrB,2015-02-27 12:09:12,14357,28,1038,False,2020-07-25 12:25:24,GVMC sanitation staff carrying out the regular sanitation activities to keep the city clean and prevent the spread… https://t.co/bkrQ5x6BCK,,Twitter Web App,False
63,Kabir_04,,"a simple human being,trying to play my role on stage of life... ,,,,, #Digitalmarketing #seo #googleads #entrepreneurship",2014-06-10 05:48:45,431,729,3774,False,2020-07-25 12:25:24,@SonuSood sir mom is in ICU due to COVID just want prayers from you and everyone who is listening you . #COVID19,['COVID19'],Twitter for iPhone,False
64,Jazmine❄️,"Marietta, GA",Living Life Too The Fullest Extent 💰✈️😜😈,2009-04-26 04:34:30,18092,17557,7156,False,2020-07-25 12:25:22,Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300 -$1500 through Cas… https://t.co/3MkuUsGBDk,"['COVID19', 'Coronavirus']",Twitter for iPhone,False
65,Charles Mapundu,"England, United Kingdom","1 thing have I desired of the Lord, that will I seek after; that I may dwell in the house of the Lord all the days of my life, to behold the beauty of the Lord",2013-08-22 23:18:21,11,40,192,False,2020-07-25 12:25:21,"This video had me in stitches
https://t.co/tadF3G6qKJ #obesity #زواج_راكان_الحربي #carryminati #my200vsbutch200… https://t.co/fsZ8NTuVDg","['obesity', 'زواج_راكان_الحربي', 'carryminati', 'my200vsbutch200']",Twitter for Android,False
66,Matty A,"New York, NY USA",🇺🇸  Happily Married & a Proud Son of a U.S Navy WW2 Vet RIP Dad Retired NYS Police Officer ALL LIVES MATTER Back The Blue 100% President Trump Supporter MAGA,2014-02-01 21:44:37,3924,4487,93575,False,2020-07-25 12:25:20,"See this Instagram post by @facts.covid19 https://t.co/glmd51L1OJ 
facts.covid19 Deaths rates not rising in lockste… https://t.co/SeZieeSxAk",,Twitter Web App,False
67,Stephen Williams,"Ballston Spa, NY","Longtime  reporter at @dgazette: Schenectady Co., Saratoga County,  the environment, politics. Confused about whether trying to save the world is worth it.",2013-08-23 14:39:13,1429,926,1324,False,2020-07-25 12:25:20,"Local government sales tax revenue dropped 27 percent year-to-year in the second quarter, thanks to #COVID19 shutdo… https://t.co/oDky9LzrV5",['COVID19'],Twitter Web App,False
68,anonymous bosch,816 ways to say 'midwest',"chef + food writer. hedonist + misanthrope given to food, drink, music, film, sport + culture. writing ramblings short + long.",2009-07-13 08:31:12,695,1836,2826,False,2020-07-25 12:25:18,Look at Lil’ Donny Micro Dick go!! What an astounding achievement of brilliance + cognitive capabilities. Somebody… https://t.co/82aEo6gL3q,,Twitter for iPhone,False
69,Lindokuhle Modi,,#GomoraMzansi | #TheQueenMzansi | #SkeemSaam | #Uzalo | #etvScandal | #Muvhango | #Isibaya | #CelebrityMysteryBox,2020-04-14 12:56:13,69,90,123,False,2020-07-25 12:25:12,"While you at it, please follow me

https://t.co/KheirQEh6Z

#Fergusons #DurbanJuly #alreadyvideo #COVID19 #WiseUp https://t.co/h1TYdOgjwv","['Fergusons', 'DurbanJuly', 'alreadyvideo', 'COVID19', 'WiseUp']",Twitter for Android,False
70,Eric aka Chewy Red,"Pennsylvania, USA","Middle ground on this gun issue.  I carry to protect my loved ones and really trust no one to protect them, but me.",2013-01-27 18:17:29,66,420,586,False,2020-07-25 12:25:12,"Concealed Nation 1 Million Giveaway https://t.co/HaMym0cBe3 
I put my family's safety before all others, criminals… https://t.co/7QQxVLWqZd",,Twitter Web App,False
71,BestValueButtons,"Denver, CO","We are a fabric outlet and specialty button Etsy shop featuring high quality stretch fabrics and unique, designer buttons that are handmade in Colorado, USA.",2018-05-30 19:45:27,1267,2869,1204,False,2020-07-25 12:25:11,Check out Angel's beautiful mask and hair bow designs at https://t.co/BpmP8tRs7M #etsy #epiconetsy #masksforsale… https://t.co/fgl69zjMyq,"['etsy', 'epiconetsy', 'masksforsale']",IFTTT,False
72,Whitey,In the south.  ,"A keen linguist who loves to learn and share my love of learning. European, British, English, southerner. Liberal Democrat. Non native German speaker.",2010-09-01 07:35:40,133,615,2106,False,2020-07-25 12:25:09,"Thread by @DrZoeHyde (based on international research and evidence) 1. Updated thread on children and #COVID19, sum… https://t.co/A1xWVotp75",['COVID19'],Twitter for Android,False
73,Thom-Ivar van Dijk,,Student Econometrics & Operations Research | Graphs in R,2019-04-13 16:06:02,1263,61,706,False,2020-07-25 12:25:08,"1 municipality reports one new fatality due to #COVID19, compared to yesterday.

1 new fatality is located and 0 fa… https://t.co/6iJ5lV7ZqR",['COVID19'],Twitter Web App,False
74,Mumbai Painters,,,2016-02-08 13:35:08,115,175,21,False,2020-07-25 12:25:06,"When your home walls need an upgradation, always opt for the experts. Hire #MumbaiPainters and let your walls find… https://t.co/Kb5Yv2ZS9Z",['MumbaiPainters'],Hootsuite Inc.,False
